percentage-of-(IP)-overall,percentage-of-(SF)-overall,percentage-of-(OM)-grocery,percentage-of-(SF)-grocery,number-of-(PO)-overall,number-of-(IR)-overall,number-of-(IS)-grocery,percentage-of-(IP-RN)-overall,percentage-of-(SBR-MINEG)-overall,percentage-of-(QM-IR)-overall,percentage-of-(SBR-SF)-overall,percentage-of-(OM-QM)-wine,percentage-of-(MIN-IR)-wine,percentage-of-(IP-SF)-grocery,percentage-of-(IP-IDN)-turns,percentage-of-(MIN-QR)-turns,percentage-of-(IDN-SBR)-turns,number-of-(IP-RN)-overall,number-of-(OM-RP)-overall,number-of-(IP-IDN)-turns,1-0020,1-0090,1-0091,1-0177,1-0432,1-0483,1-0605,1-0687,1-0891,1-1062,1-1702,1-1800,1-1886,2-0004,2-0112,2-0250,2-0254,2-0994,3-0030,3-0046,ID,mean_age,negative_experience,education,east.asian.time.in.us,cultural_intelligence,emotional.intelligence,IQ,extroversion,openness,profit.diff,profit.joint
0.0892857142857,0.00892857142857,0.0378787878788,0.0151515151515,8,8,0,0,0,0,0,0.010989010989,0.043956043956,0,0,0.00970873786408,0,0,1,0,8,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,49,25.5,no,Graduate,?,5.2,3.96969696969697,0.559589019866674,2.65,3.45,20,1480
0.0847457627119,0.0135593220339,0.00649350649351,0.0194805194805,7,0,0,0.0102040816327,0,0,0,0,0,0,0,0,0,3,0,0,4,3,0,1,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,50,23,yes,Graduate,15,5.775,4.24242424242424,1.21799308454192,4.05,4,120,1240
0.121212121212,0,0.0566037735849,0,2,5,0,0.0102040816327,0,0,0,0,0,0,0,0,0,1,2,0,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,51,25,yes,Graduate,36,4.725,3.57575757575758,-0.61661617887334,2.9,3.7,140,1400
0.109756097561,0,0,0,2,1,0,0.0204081632653,0.00408163265306,0,0,0,0,0,0,0,0.00740740740741,5,0,0,3,0,1,5,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,52,19.5,no,Undergraduate,35,5.45,3.81060606060606,-0.403321941281176,4.1,4.2,0,1160
0.0687830687831,0.00529100529101,0.0288461538462,0.00961538461538,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,53,30,yes,Graduate,48,4.85,3.87878787878788,0.102131624851082,3,3.8,120,1480
0.0909090909091,0,0.0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,54,27.5,yes,Graduate,14,4.4,3.45454545454545,-0.531577303959147,2.5,3,0,1320
0.108527131783,0.0077519379845,0.0588235294118,0.0,1,8,0,0,0,0.0078125,0,0,0.012987012987,0,0,0.0144927536232,0,0,1,0,8,1,4,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,55,20,no,Undergraduate,36,5.1,3.36363636363637,0.017092749936892,2.65,3.7,0,1480
0.0763358778626,0.00763358778626,0,0.0166666666667,2,1,0,0,0.00769230769231,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,25,no,Graduate,2,5.07763157894737,3.81818181818182,-0.921123075345942,3.25,3.45,100,1320
0.158415841584,0,0.0833333333333,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,57,26.5,yes,Graduate,49,5.63815789473684,3.87878787878788,-0.397148157314924,2.6,3.5,100,1320
0.0761904761905,0,0.0272727272727,0,8,6,0,0,0,0,0,0.010101010101,0.010101010101,0,0,0.0223880597015,0,0,2,0,7,4,5,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,1,0,58,25.5,no,Graduate,48,4.825,3.18181818181818,0.565762803832931,2.75,3.4,40,1480
0.0704225352113,0.0093896713615,0.0569105691057,0.0,3,0,0,0,0,0,0,0.0112359550562,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,59,28,yes,Graduate,26,5.51447368421053,4.24242424242424,-0.628963746805846,4,4.15,320,1400
0.102803738318,0.0140186915888,0.0686274509804,0.00980392156863,2,1,0,0,0,0,0.0093896713615,0,0.00900900900901,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,60,33.5,yes,Graduate,58,4.775,3.1969696969697,1.2906843915236,2.25,3.95,20,1320
0.135714285714,0.00714285714286,0,0.0,3,1,0,0,0,0,0.00719424460432,0,0,0,0.0140845070423,0,0.0140845070423,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,62,26.5,yes,Graduate,14,5.525,4.04545454545455,0.315425862443244,3.15,4.4,240,1160
