@relation meta_fv-weka.filters.unsupervised.instance.NonSparseToSparse

@attribute ID numeric
@attribute mean_age numeric
@attribute negative_experience {no,yes}
@attribute education {Graduate,Undergraduate}
@attribute east.asian.time.in.us numeric
@attribute cultural_intelligence numeric
@attribute emotional.intelligence numeric
@attribute IQ numeric
@attribute extroversion numeric
@attribute openness numeric
@attribute profit.diff numeric
@attribute profit.joint numeric

@data
{0 40,1 21,3 Undergraduate,4 ?,5 5.225,6 3.828125,7 1.503979,8 3.85,9 4.25,10 20,11 1480}
{0 43,1 29,4 60,5 5.125,6 3.787879,7 0.017093,8 3.8,9 3.7,10 20,11 1240}
{0 44,1 26,4 48,5 5.875,6 3.799716,7 1.034174,8 3.8,9 4.1,10 360,11 1400}
{0 45,1 21,2 yes,3 Undergraduate,4 44,5 4.95,6 4.227273,7 0.607585,8 2.638889,9 4.15,10 120,11 1480}
{0 46,1 21,3 Undergraduate,4 48,5 4.8,6 3.515152,7 0.857922,8 2.45,9 3.35,11 1320}
{0 48,1 20.5,3 Undergraduate,4 46,5 5.425,6 4.030303,7 -0.366279,8 3.3,9 4.2,10 120,11 1240}
{0 49,1 25.5,4 ?,5 5.2,6 3.969697,7 0.559589,8 2.65,9 3.45,10 20,11 1480}
{0 50,1 23,2 yes,4 15,5 5.775,6 4.242424,7 1.217993,8 4.05,9 4,10 120,11 1240}
{0 51,1 25,2 yes,4 36,5 4.725,6 3.575758,7 -0.616616,8 2.9,9 3.7,10 140,11 1400}
{0 52,1 19.5,3 Undergraduate,4 35,5 5.45,6 3.810606,7 -0.403322,8 4.1,9 4.2,11 1160}
{0 53,1 30,2 yes,4 48,5 4.85,6 3.878788,7 0.102132,8 3,9 3.8,10 120,11 1480}
{0 54,1 27.5,2 yes,4 14,5 4.4,6 3.454545,7 -0.531577,8 2.5,9 3,11 1320}
{0 55,1 20,3 Undergraduate,4 36,5 5.1,6 3.363636,7 0.017093,8 2.65,9 3.7,11 1480}
{0 56,1 25,4 2,5 5.077632,6 3.818182,7 -0.921123,8 3.25,9 3.45,10 100,11 1320}
{0 57,1 26.5,2 yes,4 49,5 5.638158,6 3.878788,7 -0.397148,8 2.6,9 3.5,10 100,11 1320}
{0 58,1 25.5,4 48,5 4.825,6 3.181818,7 0.565763,8 2.75,9 3.4,10 40,11 1480}
{0 59,1 28,2 yes,4 26,5 5.514474,6 4.242424,7 -0.628964,8 4,9 4.15,10 320,11 1400}
{0 60,1 33.5,2 yes,4 58,5 4.775,6 3.19697,7 1.290684,8 2.25,9 3.95,10 20,11 1320}
{0 62,1 26.5,2 yes,4 14,5 5.525,6 4.045455,7 0.315426,8 3.15,9 4.4,10 240,11 1160}
{0 63,1 21,3 Undergraduate,4 48,5 5.325,6 3.642045,7 0.456029,8 3.45,9 3.55,10 240,11 1400}
{0 64,1 24,3 Undergraduate,4 ?,5 5.325,6 3.893939,7 -0.550099,8 2.95,9 3.5,10 460,11 1320}
{0 65,1 26,4 26,5 4.55,6 3.727273,7 0.358642,8 3.6,9 4,10 240,11 1320}
{0 66,1 20.5,3 Undergraduate,4 3,5 4.671053,6 3.730303,7 -0.305935,8 2.9,9 3.55,11 1160}
{0 68,1 26,2 yes,4 53,5 5.175,6 4.015152,7 -0.72635,8 3.3,9 4.15,10 40,11 1240}
{0 69,1 26,4 31,5 4.5,6 3.772727,7 -0.738698,8 2.7,9 3.65,10 120,11 1240}
{0 70,1 18.5,3 Undergraduate,4 48,5 4.75,6 3.818182,7 -0.945818,8 3.05,9 3.7,10 20,11 1240}
{0 71,1 33.5,4 17,5 4.775,6 3.772727,7 0.638454,8 3,9 3.9,11 1480}
{0 72,1 20.5,3 Undergraduate,4 3,5 5.4,6 3.812973,7 0.18717,8 3.1,9 3.3,10 100,11 1480}
{0 73,1 19.5,3 Undergraduate,4 48,5 4.425,6 3.69697,7 -0.428017,8 2.95,9 3.25,11 1320}
{0 74,1 18,3 Undergraduate,4 60,5 5.525,6 4.212121,7 -0.836084,8 4.05,9 4.15,11 1160}
{0 75,1 21.5,3 Undergraduate,4 60,5 4.225,6 3.166667,7 0.248908,8 3.15,9 3.35,11 1320}
