@relation 'baseline_fv-weka.filters.unsupervised.attribute.Remove-R228,238'

@attribute percentage-of-(PT)-overall numeric
@attribute percentage-of-(TH)-overall numeric
@attribute percentage-of-(QM)-overall numeric
@attribute percentage-of-(MIC)-wine numeric
@attribute number-of-(P1)-grocery numeric
@attribute percentage-of-(ESBR)-wine numeric
@attribute east.asian.time.in.us numeric
@attribute percentage-of-(SBE)-grocery numeric
@attribute percentage-of-(MINEG)-grocery numeric
@attribute percentage-of-(INN)-grocery numeric
@attribute percentage-of-(IR)-grocery numeric
@attribute number-of-(IDN)-overall numeric
@attribute profit.joint numeric
@attribute percentage-of-(RT)-overall numeric
@attribute percentage-of-(MIN)-overall numeric
@attribute number-of-(QM)-overall numeric
@attribute number-of-(MIN)-overall numeric
@attribute percentage-of-(QS)-wine numeric
@attribute number-of-(SF)-overall numeric
@attribute percentage-of-(IS)-wine numeric
@attribute percentage-of-(QM)-grocery numeric
@attribute number-of-(IB)-grocery numeric
@attribute number-of-(RT)-grocery numeric
@attribute percentage-of-(PX)-overall numeric
@attribute number-of-(PP)-grocery numeric
@attribute number-of-(IDP)-wine numeric
@attribute number-of-(GD)-grocery numeric
@attribute percentage-of-(OM)-overall numeric
@attribute percentage-of-(OT)-wine numeric
@attribute percentage-of-(RT)-wine numeric
@attribute percentage-of-(QS)-overall numeric
@attribute percentage-of-(RP)-overall numeric
@attribute percentage-of-(RN)-grocery numeric
@attribute number-of-(IDP)-grocery numeric
@attribute percentage-of-(IDP)-overall numeric
@attribute number-of-(MINEG)-wine numeric
@attribute number-of-(PX)-grocery numeric
@attribute percentage-of-(IS)-grocery numeric
@attribute percentage-of-(IB)-grocery numeric
@attribute percentage-of-(QM)-wine numeric
@attribute cultural_intelligence numeric
@attribute number-of-though-unit numeric
@attribute number-of-(CS)-grocery numeric
@attribute number-of-(GD)-overall numeric
@attribute percentage-of-(MIN)-wine numeric
@attribute percentage-of-(INP)-overall numeric
@attribute number-of-(OS)-grocery numeric
@attribute number-of-(INP)-wine numeric
@attribute number-of-(RN)-wine numeric
@attribute percentage-of-(RT)-grocery numeric
@attribute percentage-of-(MIN)-grocery numeric
@attribute percentage-of-(INP)-grocery numeric
@attribute number-of-(IR)-wine numeric
@attribute number-of-(QR)-overall numeric
@attribute number-of-(IS)-grocery numeric
@attribute number-of-(IDN)-wine numeric
@attribute number-of-(QP)-overall numeric
@attribute extroversion numeric
@attribute number-of-(OM)-grocery numeric
@attribute percentage-of-(IS)-overall numeric
@attribute number-of-(QP)-wine numeric
@attribute number-of-(IB)-wine numeric
@attribute percentage-of-(RN)-overall numeric
@attribute number-of-(IR)-grocery numeric
@attribute percentage-of-(QR)-overall numeric
@attribute number-of-(IB)-overall numeric
@attribute number-of-(QS)-overall numeric
@attribute percentage-of-(PC)-wine numeric
@attribute number-of-(TH)-grocery numeric
@attribute number-of-(MINEG)-overall numeric
@attribute percentage-of-(PM)-wine numeric
@attribute number-of-(PW)-grocery numeric
@attribute number-of-(PM)-grocery numeric
@attribute percentage-of-(GD)-overall numeric
@attribute percentage-of-(PO)-overall numeric
@attribute number-of-(SBE)-overall numeric
@attribute number-of-(PX)-wine numeric
@attribute percentage-of-(PW)-grocery numeric
@attribute number-of-(SF)-grocery numeric
@attribute percentage-of-(RP)-grocery numeric
@attribute number-of-(QR)-wine numeric
@attribute number-of-(ESBR)-wine numeric
@attribute percentage-of-(MU)-overall numeric
@attribute percentage-of-(OM)-wine numeric
@attribute number-of-(PM)-overall numeric
@attribute number-of-(OS)-overall numeric
@attribute percentage-of-(TH)-wine numeric
@attribute number-of-(MIC)-wine numeric
@attribute percentage-of-(QP)-grocery numeric
@attribute IQ numeric
@attribute percentage-of-(PM)-overall numeric
@attribute number-of-(IR)-overall numeric
@attribute number-of-(PO)-wine numeric
@attribute percentage-of-(QB)-grocery numeric
@attribute number-of-(IDP)-overall numeric
@attribute number-of-(IS)-wine numeric
@attribute percentage-of-(PX)-wine numeric
@attribute percentage-of-(PP)-overall numeric
@attribute number-of-(RN)-grocery numeric
@attribute number-of-(PC)-overall numeric
@attribute percentage-of-(TH)-grocery numeric
@attribute percentage-of-(PT)-wine numeric
@attribute percentage-of-(IP)-overall numeric
@attribute number-of-(MINEG)-grocery numeric
@attribute number-of-(IDN)-grocery numeric
@attribute number-of-(OT)-grocery numeric
@attribute percentage-of-(PC)-overall numeric
@attribute percentage-of-(QR)-grocery numeric
@attribute number-of-(RN)-overall numeric
@attribute percentage-of-(CS)-grocery numeric
@attribute percentage-of-(CS)-wine numeric
@attribute percentage-of-(MU)-grocery numeric
@attribute percentage-of-(QB)-wine numeric
@attribute percentage-of-(SF)-overall numeric
@attribute number-of-(PO)-overall numeric
@attribute number-of-(PM)-wine numeric
@attribute number-of-(ESBR)-grocery numeric
@attribute number-of-(SBR)-overall numeric
@attribute percentage-of-(SF)-wine numeric
@attribute number-of-(MU)-wine numeric
@attribute number-of-(PW)-wine numeric
@attribute percentage-of-(P1)-grocery numeric
@attribute number-of-(QP)-grocery numeric
@attribute number-of-(P1)-wine numeric
@attribute percentage-of-(QS)-grocery numeric
@attribute number-of-(OM)-overall numeric
@attribute percentage-of-(ESBR)-overall numeric
@attribute percentage-of-(PC)-grocery numeric
@attribute number-of-(PX)-overall numeric
@attribute percentage-of-(P1)-wine numeric
@attribute percentage-of-(SBE)-overall numeric
@attribute number-of-(OS)-wine numeric
@attribute number-of-(PW)-overall numeric
@attribute openness numeric
@attribute number-of-(IP)-overall numeric
@attribute number-of-(OT)-wine numeric
@attribute number-of-(PO)-grocery numeric
@attribute number-of-(RT)-overall numeric
@attribute mean_age numeric
@attribute number-of-(IP)-wine numeric
@attribute number-of-(INN)-grocery numeric
@attribute number-of-(OT)-overall numeric
@attribute percentage-of-(OS)-overall numeric
@attribute negative_experience {no,yes}
@attribute number-of-(QR)-grocery numeric
@attribute number-of-(QS)-wine numeric
@attribute number-of-(IS)-overall numeric
@attribute percentage-of-(SBR)-grocery numeric
@attribute number-of-(MIN)-wine numeric
@attribute percentage-of-(IP)-wine numeric
@attribute number-of-(PC)-wine numeric
@attribute number-of-(IP)-grocery numeric
@attribute number-of-(INP)-overall numeric
@attribute percentage-of-(MU)-wine numeric
@attribute number-of-(CS)-wine numeric
@attribute number-of-(PT)-overall numeric
@attribute number-of-(P1)-overall numeric
@attribute number-of-though-unit-grocery numeric
@attribute percentage-of-(SBR)-overall numeric
@attribute number-of-(GD)-wine numeric
@attribute number-of-(CS)-overall numeric
@attribute number-of-(MIC)-overall numeric
@attribute percentage-of-(IDN)-grocery numeric
@attribute number-of-(TH)-overall numeric
@attribute percentage-of-(OS)-grocery numeric
@attribute percentage-of-(IDP)-grocery numeric
@attribute percentage-of-(PM)-grocery numeric
@attribute number-of-(INP)-grocery numeric
@attribute number-of-(PC)-grocery numeric
@attribute percentage-of-(PW)-overall numeric
@attribute number-of-(PP)-wine numeric
@attribute number-of-(QB)-wine numeric
@attribute number-of-(INN)-wine numeric
@attribute number-of-(MIN)-grocery numeric
@attribute number-of-(ESBR)-overall numeric
@attribute percentage-of-(IR)-wine numeric
@attribute number-of-(SBR)-grocery numeric
@attribute percentage-of-(OM)-grocery numeric
@attribute percentage-of-(PO)-wine numeric
@attribute percentage-of-(QR)-wine numeric
@attribute percentage-of-(P1)-overall numeric
@attribute percentage-of-(MIC)-grocery numeric
@attribute percentage-of-(PO)-grocery numeric
@attribute percentage-of-(PW)-wine numeric
@attribute percentage-of-(IDN)-wine numeric
@attribute percentage-of-(RP)-wine numeric
@attribute percentage-of-(PP)-grocery numeric
@attribute number-of-(QM)-wine numeric
@attribute percentage-of-(IB)-overall numeric
@attribute percentage-of-(PP)-wine numeric
@attribute number-of-(PT)-grocery numeric
@attribute education {Graduate,Undergraduate}
@attribute number-of-(RP)-wine numeric
@attribute percentage-of-(INN)-overall numeric
@attribute percentage-of-(SBR)-wine numeric
@attribute number-of-(MU)-grocery numeric
@attribute number-of-(TH)-wine numeric
@attribute wine-is-East-Asian {True,False}
@attribute number-of-(RT)-wine numeric
@attribute percentage-of-(RN)-wine numeric
@attribute percentage-of-(MIC)-overall numeric
@attribute number-of-(MU)-overall numeric
@attribute percentage-of-(SBE)-wine numeric
@attribute percentage-of-(QP)-overall numeric
@attribute number-of-(OM)-wine numeric
@attribute percentage-of-(INN)-wine numeric
@attribute percentage-of-(OS)-wine numeric
@attribute percentage-of-(IDN)-overall numeric
@attribute number-of-(RP)-grocery numeric
@attribute percentage-of-(OT)-grocery numeric
@attribute percentage-of-(ESBR)-grocery numeric
@attribute percentage-of-(IDP)-wine numeric
@attribute percentage-of-(IB)-wine numeric
@attribute number-of-(SF)-wine numeric
@attribute percentage-of-(MINEG)-overall numeric
@attribute number-of-(MIC)-grocery numeric
@attribute number-of-though-unit-wine numeric
@attribute percentage-of-(GD)-grocery numeric
@attribute percentage-of-(PT)-grocery numeric
@attribute number-of-(PP)-overall numeric
@attribute number-of-(SBE)-grocery numeric
@attribute percentage-of-(PX)-grocery numeric
@attribute percentage-of-(QP)-wine numeric
@attribute number-of-(PT)-wine numeric
@attribute percentage-of-(MINEG)-wine numeric
@attribute number-of-(QB)-grocery numeric
@attribute percentage-of-(OT)-overall numeric
@attribute number-of-(QM)-grocery numeric
@attribute number-of-(SBE)-wine numeric
@attribute percentage-of-(GD)-wine numeric
@attribute percentage-of-(IR)-overall numeric
@attribute emotional.intelligence numeric
@attribute percentage-of-(IP)-grocery numeric
@attribute percentage-of-(SF)-grocery numeric
@attribute percentage-of-(CS)-overall numeric
@attribute number-of-(RP)-overall numeric
@attribute number-of-(QS)-grocery numeric
@attribute percentage-of-(QB)-overall numeric
@attribute number-of-(QB)-overall numeric
@attribute number-of-(INN)-overall numeric
@attribute number-of-(SBR)-wine numeric
@attribute percentage-of-(INP)-wine numeric

@data
0,0,0.020134,0.191781,3,0,50,0.013158,0.026316,0,0.013158,1,1240,0,0.080537,3,12,0,0,0,0.026316,1,0,0.013423,1,0,0,0.013423,0,0,0.04698,0.033557,0,0,0,0,1,0,0.013158,0.013699,5.05,149,3,0,0.123288,0,2,0,1,0,0.039474,0,1,0,0,0,4,3.4,2,0,2,1,0.006711,1,0,2,7,0,0,2,0,0,0,0,0.006711,1,1,0,0,0.026316,0,0,0.013423,0,0,3,0,14,0.026316,0.663149,0,2,1,0.013158,0,0,0.013699,0.020134,0,2,0,0,0.087248,2,1,1,0.013423,0,1,0.039474,0,0,0,0,1,0,0,50,0,2,0,0.039474,2,1,0.092105,2,0,0.026316,2,0.013699,0.006711,1,0,3.5,13,0,0,0,26.5,8,0,1,0.020134,no,0,0,0,0.328947,9,0.109589,0,5,0,0.027397,0,0,4,76,0.33557,0,3,22,0.013158,0,0.026316,0,0,0,2,0,2,0,0,3,0,0.013699,25,0.026316,0.013699,0,0.026846,0.105263,0,0,0,0.041096,0.013158,1,0.013423,0.027397,0,Graduate,3,0,0.342466,0,0,True,0,0.013699,0.147651,2,0,0.026846,0,0,0.013699,0.006711,2,0.013158,0,0,0.013699,0,0.013423,8,73,0,0,3,1,0.013158,0.027397,0,0,1,0.006711,2,0,0,0.013423,3.682307,0.065789,0,0.020134,5,7,0.006711,1,0,25,0
0,0,0.031008,0.057971,1,0,61,0,0,0,0.066667,2,1480,0,0.255814,4,33,0.014493,0,0,0.05,0,0,0.007752,5,2,0,0.077519,0.014493,0,0.007752,0.031008,0.033333,0,0.015504,1,1,0,0,0.014493,5.525,129,0,1,0.347826,0.015504,1,1,1,0,0.15,0.016667,6,2,0,2,4,3.95,6,0,4,0,0.023256,4,0.015504,0,1,0,0,1,0,0,0,0.007752,0.03876,0,0,0,0,0.05,2,0,0,0.057971,0,3,0,4,0,-0.092641,0,10,3,0,2,0,0,0.03876,2,3,0,0,0.031008,0,0,4,0.023256,0,3,0,0,0,0,0,5,0,0,11,0,0,0,0.016667,0,0,0,10,0,0.05,1,0,0,2,0,4.65,4,1,2,0,26.5,3,0,5,0.023256,no,0,1,0,0.116667,24,0.043478,0,1,2,0,0,0,1,60,0.085271,1,0,11,0,0,0.016667,0,0,1,3,0,0,0,1,9,0,0.086957,7,0.1,0.043478,0.028986,0.007752,0.116667,0.033333,0,0.028986,0.014493,0.083333,1,0,0,0,Graduate,1,0.007752,0.057971,0,0,False,0,0.014493,0.085271,0,0,0.031008,4,0.014493,0.028986,0.015504,3,0.066667,0,0.028986,0,0,0.007752,7,69,0,0,5,0,0.016667,0.057971,0,0.014493,0,0.03876,3,0,0.014493,0.077519,4.242424,0.016667,0,0,4,0,0,0,1,4,0.014493
0,0,0.018405,0.072464,4,0,12,0,0,0,0.031915,6,1160,0,0.092025,3,15,0,0,0,0.021277,0,0,0,0,0,0,0,0,0,0.01227,0.030675,0.031915,0,0,2,0,0.010638,0,0.014493,4.875,163,0,0,0.144928,0,3,0,0,0,0.053191,0,2,1,1,5,6,2.8,0,0.006135,3,0,0.018405,3,0.006135,0,2,0.014493,0,2,0.014493,0,0,0,0.018405,0,0,0,0,0.031915,0,0,0,0,1,8,0,5,0.031915,0.327773,0.006135,5,0,0,0,0,0,0,3,3,0,0,0.122699,0,1,0,0.018405,0.010638,3,0,0,0,0,0,3,1,0,66,0,0,0,0.042553,3,1,0.021277,0,0,0.021277,0,0.014493,0,5,0,4.15,20,0,3,0,23,10,0,0,0.04908,yes,1,0,1,0.478723,10,0.144928,1,10,0,0,0,0,5,94,0.404908,0,0,8,0.010638,0,0.031915,0,0,0,2,0,0,0,0,5,0,0.028986,45,0,0,0,0.030675,0.031915,0.031915,0,0.072464,0.028986,0,1,0,0,0,Graduate,2,0,0.304348,0,0,False,0,0,0.04908,0,0,0.03681,0,0,0.072464,0.03681,3,0,0,0,0,0,0.01227,3,69,0,0,0,0,0,0.043478,0,0.028986,0,0,2,0,0,0.030675,3.889205,0.106383,0,0,5,2,0,0,0,21,0
0,0,0.070588,0.111111,0,0,1,0,0,0,0.025,1,1260,0.023529,0.129412,6,11,0.022222,4,0,0.125,0,0,0,0,0,0,0.058824,0,0.044444,0.023529,0,0,0,0,1,0,0,0,0.022222,5.025,85,0,0,0.111111,0.023529,1,1,1,0,0.15,0.025,3,3,0,0,3,2.75,1,0,1,0,0.011765,1,0.035294,0,2,0.022222,0,1,0,0,0,0,0.058824,0,0,0,1,0,2,0,0,0.088889,0,1,0,5,0.05,-0.738698,0,4,2,0,0,0,0,0.011765,0,2,0,0,0.058824,0,1,3,0.023529,0.025,1,0,0.022222,0,0,0.047059,5,0,0,6,0.066667,0,0,0,2,2,0.025,5,0,0.025,0,0.044444,0,0,0,3.6,5,0,3,2,23.5,4,0,3,0.011765,no,1,1,0,0.05,5,0.088889,1,1,2,0,1,0,2,40,0.070588,0,1,14,0.025,0,0.025,0,0,1,1,0,1,0,0,6,0,0.066667,2,0.025,0.044444,0.044444,0.023529,0.225,0.075,0,0,0,0,1,0,0.022222,0,Graduate,0,0,0.088889,0,0,True,2,0.022222,0.164706,0,0,0.035294,4,0,0,0.011765,0,0.075,0,0,0,3,0.011765,9,45,0,0,1,0,0,0.022222,0,0.022222,0,0.035294,5,0,0,0.047059,4.19697,0.025,0.025,0.011765,0,1,0,0,0,4,0.022222
0.008547,0,0.042735,0.126984,1,0,60,0,0,0,0.055556,1,1400,0,0.076923,5,9,0.015873,0,0,0.037037,0,0,0.008547,0,0,0,0.051282,0.15873,0,0.008547,0.042735,0.018519,0,0,0,1,0,0,0.047619,5.55,117,0,0,0.063492,0.017094,3,1,2,0,0.092593,0.018519,0,0,0,0,3,4.25,3,0,0,0,0.025641,3,0,0,1,0.015873,0,0,0,0,2,0,0.008547,0,0,0,0,0.092593,0,0,0.008547,0.047619,2,5,0,8,0.055556,0.541068,0.017094,3,0,0,0,0,0,0,1,2,0,0.015873,0.119658,0,1,4,0.017094,0,3,0,0,0,0,0,1,0,0,23,0,1,0,0.018519,3,0,0,6,0,0.018519,1,0,0,2,0,4.2,14,10,1,0,27.5,9,0,14,0.042735,no,0,1,0,0.111111,4,0.142857,1,5,2,0.015873,0,1,1,54,0.196581,0,0,14,0.018519,0,0.055556,0,0.037037,1,1,0,0,0,0,5,0,0,6,0.055556,0,0,0.008547,0.111111,0.018519,0,0,0,0,3,0,0,0,Graduate,0,0,0.269841,0,0,False,0,0.031746,0.119658,1,0,0.025641,3,0,0.031746,0.008547,5,0.074074,0,0,0,0,0,6,63,0,0,0,0,0.018519,0,1,0,0,0.119658,2,0,0,0.025641,4.19697,0.092593,0,0,5,0,0,0,0,17,0.015873
0,0,0.080925,0.040816,1,0,49,0,0.013333,0.013333,0,0,1340,0,0.196532,14,34,0,0,0,0.053333,0,0,0.00578,2,0,0,0.046243,0.112245,0,0,0.028902,0.013333,0,0,1,1,0,0,0.102041,4.825,173,0,0,0.132653,0,1,0,6,0,0.28,0,0,0,0,0,6,3.25,3,0,2,3,0.040462,0,0,3,0,0.010204,0,2,0.010204,0,0,0,0.046243,0,0,0,0,0.04,0,0,0,0.05102,1,1,0,4,0.053333,0.443681,0.00578,0,5,0,0,0,0,0.028902,1,3,0,0,0.086705,1,0,9,0.017341,0,7,0,0,0,0,0,8,1,0,27,0,0,0,0.013333,4,4,0,8,0,0.026667,1,0.040816,0,0,0,3.65,15,11,3,0,24,8,1,20,0.00578,no,0,0,0,0.106667,13,0.081633,1,7,0,0,0,0,5,75,0.156069,0,0,7,0,0,0.013333,0,0,0,2,0,3,0,0,21,0,0,8,0.04,0.05102,0,0.028902,0.04,0.04,0,0,0.020408,0.026667,10,0.017341,0.030612,0,Graduate,2,0.00578,0.193878,0,0,True,0,0.061224,0.040462,0,0,0.034682,5,0,0,0,3,0.12,0,0,0.030612,0,0.011561,3,98,0,0,5,0,0.013333,0.020408,0,0.010204,0,0.115607,4,0,0,0,3.954545,0.093333,0,0,5,0,0,0,1,19,0
0.007194,0,0,0.194444,0,0,48,0,0,0,0.014925,1,1400,0,0.129496,0,18,0.013889,0,0,0,0,0,0,3,0,0,0.014388,0.041667,0,0.007194,0.014388,0,0,0,1,0,0,0,0,4.45,139,0,0,0.125,0.014388,1,1,0,0,0.134328,0.014925,2,0,0,1,5,3,1,0,4,0,0,1,0,0,1,0,0,1,0.013889,0,1,0,0.035971,0,0,0,0,0,0,0,0.007194,0.013889,2,3,0,14,0.014925,0.095958,0.014388,3,2,0,0,0,0,0.021583,0,1,0,0,0.107914,0,0,3,0.007194,0,0,0,0.055556,0,0,0,5,1,0,40,0,1,0,0,1,0,0,2,0,0.014925,0,0,0,2,0,3.2,15,3,3,0,29,6,0,6,0.021583,no,0,1,0,0.343284,9,0.083333,0,9,2,0.013889,4,1,0,67,0.28777,0,4,23,0,0,0.014925,0,0.014925,1,1,0,0,0,0,9,0,0.027778,23,0.014925,0.027778,0,0,0.134328,0.044776,0,0.013889,0.027778,0.044776,0,0,0,1,Graduate,2,0,0.236111,0,0,True,0,0,0.165468,1,0,0.035971,1,0,0.027778,0.007194,0,0.044776,0,0,0,0,0.007194,9,72,0,0.014925,3,0,0,0.055556,0,0.013889,0,0.043165,0,0,0,0.021583,3.015152,0.134328,0,0.028777,2,0,0,0,0,17,0.013889
0,0,0.079812,0.04717,0,0,?,0,0.037383,0.009346,0.084112,2,1480,0.004695,0.201878,17,43,0.056604,0,0,0.102804,1,1,0.00939,3,0,0,0.098592,0.04717,0,0.028169,0.014085,0.018692,0,0,4,2,0,0.009346,0.056604,5.225,213,0,0,0.179245,0,0,0,6,0.009346,0.224299,0,3,4,0,1,7,3.85,4,0,3,0,0.037559,9,0.018779,1,6,0,0,8,0,0,1,0,0.037559,0,0,0,0,0.018692,1,0,0.004695,0.160377,1,1,0,5,0.037383,1.503979,0.004695,12,4,0,0,0,0,0.023474,2,3,0,0,0.070423,4,1,3,0.014085,0.028037,8,0,0,0,0,0,8,0,0,24,0,1,0,0,4,1,0,21,0,0.028037,2,0.009434,0,1,0,4.25,15,5,4,1,21,8,1,8,0.004695,no,3,6,0,0.11215,19,0.075472,0,7,0,0.009434,0,0,1,107,0.112676,0,0,10,0.009346,0,0,0,0.009346,0,3,0,2,0,0,24,0,0.028302,12,0.037383,0.037736,0.009434,0.004695,0.046729,0.037383,0,0.009434,0.009434,0.028037,6,0.004695,0.018868,0,Undergraduate,1,0.004695,0.113208,0,0,True,0,0.056604,0.046948,1,0,0.032864,17,0,0.009434,0.00939,2,0.028037,0,0,0,0,0.037559,5,106,0,0,5,0,0.018692,0.028302,0,0.037736,0,0.037559,11,0,0,0.056338,3.828125,0.065421,0,0,3,0,0,0,1,12,0
0,0,0.026316,0.081081,0,0,60,0,0,0,0,0,1240,0,0.197368,2,15,0,1,0,0,0,0,0,1,0,0,0.052632,0.054054,0,0,0.052632,0,0,0,0,0,0,0,0.054054,5.125,76,0,0,0.162162,0,0,0,0,0,0.230769,0,1,0,0,0,5,3.8,2,0,3,0,0,0,0,0,0,0.027027,0,0,0.027027,0,0,0,0.013158,0,0,0,1,0.076923,0,0,0,0.054054,1,1,0,3,0.051282,0.017093,0.013158,1,1,0,0,0,0,0.026316,0,3,0,0,0.144737,0,0,2,0.039474,0,0,0,0,0,0,0.013158,1,1,0,13,0,0,0,0,2,1,0,4,0,0.051282,0,0.027027,0,1,0,3.7,11,2,0,0,29,5,0,4,0.013158,no,0,0,0,0.179487,6,0.135135,1,6,0,0,0,0,1,39,0.171053,0,0,7,0,0,0,0,0,0,2,0,1,0,0,9,0,0.027027,7,0.051282,0.027027,0,0.013158,0.102564,0,0,0,0.027027,0.025641,2,0,0.027027,0,Graduate,1,0,0.162162,0,0,False,0,0,0.092105,0,0,0.065789,2,0,0.027027,0,3,0.051282,0,0,0,0,0,4,37,0,0,2,0,0,0.081081,0,0,0,0.052632,0,0,0,0.013158,3.787879,0.153846,0.025641,0,4,0,0,0,0,6,0
0,0,0.069767,0.0625,1,0,48,0,0,0,0.026316,0,1400,0,0.232558,6,20,0,0,0,0.078947,1,0,0.011628,1,0,1,0.104651,0.041667,0,0,0.023256,0,0,0,0,0,0,0.026316,0.0625,5.875,86,0,1,0.25,0,2,0,3,0,0.210526,0,4,1,0,0,6,3.8,6,0,4,0,0.034884,1,0.011628,1,0,0,0,0,0,0,0,0.011628,0.023256,0,1,0,0,0.026316,0,0,0,0.0625,0,2,0,3,0.052632,1.034174,0,5,1,0,0,0,0.020833,0.011628,0,0,0,0,0.151163,0,0,3,0,0.026316,3,0,0,0,0,0,2,0,0,2,0,0,0,0.026316,2,0,0,9,0,0,1,0,0,0,0,4.1,13,2,1,0,26,9,0,5,0.023256,no,1,0,0,0.026316,12,0.1875,0,4,0,0,0,0,1,38,0.023256,0,0,4,0,0,0.052632,0,0,0,0,0,0,0,1,8,0,0.083333,1,0.157895,0.020833,0,0.011628,0.026316,0.026316,0,0,0.020833,0.026316,3,0.011628,0,0,Graduate,1,0.011628,0.020833,0,0,False,0,0.0625,0.046512,0,0,0.069767,3,0.020833,0,0,1,0.078947,0,0,0,0,0,1,48,0.026316,0,1,0,0,0.083333,0,0,0,0.05814,3,0,0,0.05814,3.799716,0.105263,0,0,2,0,0,0,1,1,0
0,0,0.107692,0,1,0,44,0.034884,0,0.011628,0.023256,0,1480,0,0.269231,14,35,0,0,0,0.093023,1,0,0,3,0,0,0.076923,0,0,0,0.046154,0.011628,0,0,0,0,0,0.011628,0.136364,4.95,130,0,0,0.363636,0,3,0,2,0,0.22093,0,1,2,0,0,6,2.638889,6,0,2,0,0.023077,2,0.015385,1,0,0,0,0,0,0,0,0,0.023077,3,0,0,0,0.023256,0,0,0,0.090909,0,4,0,0,0.046512,0.607585,0,3,1,0,0,0,0,0.023077,1,0,0,0,0.084615,0,0,2,0,0.023256,3,0,0,0,0,0,3,0,0,11,0,0,0,0.011628,4,1,0,10,0,0,0,0.022727,0.023077,1,0,4.15,11,0,2,0,21,4,1,2,0.030769,yes,2,0,0,0.104651,16,0.090909,0,7,0,0,0,0,2,86,0.084615,0,0,10,0,0,0.034884,0,0,0,0,0,0,0,0,19,0,0.022727,9,0.069767,0.022727,0,0.015385,0.116279,0.023256,0,0,0.090909,0.034884,6,0.007692,0,0,Undergraduate,4,0.007692,0.045455,0,0,True,0,0.045455,0.076923,0,0,0.046154,4,0,0.022727,0,2,0.023256,0,0,0,0,0,10,44,0,0,3,3,0,0.045455,0,0,0,0.015385,8,0,0,0.023077,4.227273,0.081395,0,0,6,0,0,0,1,2,0
0,0,0.044776,0.136364,4,0,48,0,0.014706,0,0.044118,0,1320,0,0.19403,6,26,0.015152,0,0,0.058824,0,0,0,1,0,0,0.007463,0.015152,0,0.014925,0.037313,0.014706,0,0,1,0,0,0,0.030303,4.8,134,0,0,0.166667,0.007463,2,0,1,0,0.220588,0.014706,1,0,0,0,4,2.45,1,0,3,0,0.014925,3,0,0,2,0,0,2,0.015152,0,0,0,0.014925,0,0,0,0,0.029412,0,0,0,0,1,9,0,9,0.014706,0.857922,0.007463,4,0,0,0,0,0,0.007463,1,0,0,0,0.089552,1,0,0,0,0,2,0,0,0,0,0,2,1,0,35,0,0,0,0.058824,1,1,0.014706,1,0,0,0,0.015152,0,7,0,3.35,12,1,2,0,21,6,0,1,0.067164,no,0,1,0,0.25,11,0.090909,0,6,1,0,0,0,5,68,0.261194,0,0,15,0,0,0.029412,0,0,1,0,0,0,0,0,15,0,0.015152,17,0.014706,0,0,0.037313,0.088235,0.029412,0,0,0.045455,0.014706,2,0,0,0,Undergraduate,3,0,0.272727,0,0,True,0,0.015152,0.11194,0,0,0.029851,0,0,0.106061,0,2,0,0,0,0,0,0.014925,6,66,0,0,1,0,0,0.045455,0,0.015152,0,0.007463,4,0,0,0.029851,3.515152,0.088235,0,0,5,1,0,0,0,18,0
0,0,0.045752,0.027397,2,0,46,0,0,0,0,1,1240,0,0.137255,7,21,0.013699,0,0,0.0625,0,0,0,0,0,0,0.006536,0,0,0.006536,0.026144,0,0,0,0,0,0,0,0.027397,5.425,153,0,0,0.123288,0.006536,7,1,1,0,0.15,0,0,0,0,1,1,3.3,0,0,1,0,0.006536,0,0,0,1,0.013699,0,0,0.013699,0,0,0,0,0,0,0,0,0.0375,0,0,0,0.013699,1,19,0,2,0,-0.366279,0.006536,0,0,0,0,0,0,0,0,2,0,0,0.117647,0,0,0,0.013072,0,1,0,0,0,0,0,0,1,0,66,0,0,0,0.025,0,4,0,1,0,0.0125,0,0.054795,0,12,0,4.2,18,0,0,0,20.5,8,0,0,0.124183,no,0,1,0,0.4875,9,0.109589,1,10,1,0,0,0,6,80,0.431373,0,0,3,0,0,0.0875,0,0,0,1,0,0,0,0,12,0,0,39,0,0,0,0.039216,0.0125,0,0,0.013699,0.013699,0,2,0,0,0,Undergraduate,1,0,0.369863,0,0,True,0,0.013699,0.019608,0,0,0.006536,1,0,0.164384,0.006536,3,0,0,0,0,0,0,1,73,0,0,0,0,0,0.013699,0,0,0,0,5,0,0,0,4.030303,0.125,0,0,4,0,0,0,0,27,0.013699
