@relation 'meta_fv-weka.filters.unsupervised.instance.NonSparseToSparse-weka.filters.unsupervised.attribute.Remove-R1,11'

@attribute mean_age numeric
@attribute negative_experience {no,yes}
@attribute education {Graduate,Undergraduate}
@attribute east.asian.time.in.us numeric
@attribute cultural_intelligence numeric
@attribute emotional.intelligence numeric
@attribute IQ numeric
@attribute extroversion numeric
@attribute openness numeric
@attribute profit.joint numeric

@data
{0 25.5,3 40,4 4.75,5 3.318182,6 -0.506882,7 2.4,8 2.95,9 1160}
{0 26.5,3 50,4 5.05,5 3.682307,6 0.663149,7 3.4,8 3.5,9 1240}
{0 26.5,3 61,4 5.525,5 4.242424,6 -0.092641,7 3.95,8 4.65,9 1480}
{0 23,1 yes,3 12,4 4.875,5 3.889205,6 0.327773,7 2.8,8 4.15,9 1160}
{0 23.5,3 1,4 5.025,5 4.19697,6 -0.738698,7 2.75,8 3.6,9 1260}
{0 27.5,3 60,4 5.55,5 4.19697,6 0.541068,7 4.25,8 4.2,9 1400}
{0 24,3 49,4 4.825,5 3.954545,6 0.443681,7 3.25,8 3.65,9 1340}
{0 29,3 48,4 4.45,5 3.015152,6 0.095958,7 3,8 3.2,9 1400}
{0 21,2 Undergraduate,3 ?,4 5.225,5 3.828125,6 1.503979,7 3.85,8 4.25,9 1480}
{0 29,3 60,4 5.125,5 3.787879,6 0.017093,7 3.8,8 3.7,9 1240}
{0 26,3 48,4 5.875,5 3.799716,6 1.034174,7 3.8,8 4.1,9 1400}
{0 21,1 yes,2 Undergraduate,3 44,4 4.95,5 4.227273,6 0.607585,7 2.638889,8 4.15,9 1480}
{0 21,2 Undergraduate,3 48,4 4.8,5 3.515152,6 0.857922,7 2.45,8 3.35,9 1320}
{0 20.5,2 Undergraduate,3 46,4 5.425,5 4.030303,6 -0.366279,7 3.3,8 4.2,9 1240}
{0 25.5,3 ?,4 5.2,5 3.969697,6 0.559589,7 2.65,8 3.45,9 1480}
{0 23,1 yes,3 15,4 5.775,5 4.242424,6 1.217993,7 4.05,8 4,9 1240}
{0 25,1 yes,3 36,4 4.725,5 3.575758,6 -0.616616,7 2.9,8 3.7,9 1400}
{0 19.5,2 Undergraduate,3 35,4 5.45,5 3.810606,6 -0.403322,7 4.1,8 4.2,9 1160}
{0 30,1 yes,3 48,4 4.85,5 3.878788,6 0.102132,7 3,8 3.8,9 1480}
{0 27.5,1 yes,3 14,4 4.4,5 3.454545,6 -0.531577,7 2.5,8 3,9 1320}
{0 20,2 Undergraduate,3 36,4 5.1,5 3.363636,6 0.017093,7 2.65,8 3.7,9 1480}
{0 25,3 2,4 5.077632,5 3.818182,6 -0.921123,7 3.25,8 3.45,9 1320}
{0 26.5,1 yes,3 49,4 5.638158,5 3.878788,6 -0.397148,7 2.6,8 3.5,9 1320}
{0 25.5,3 48,4 4.825,5 3.181818,6 0.565763,7 2.75,8 3.4,9 1480}
{0 28,1 yes,3 26,4 5.514474,5 4.242424,6 -0.628964,7 4,8 4.15,9 1400}
{0 33.5,1 yes,3 58,4 4.775,5 3.19697,6 1.290684,7 2.25,8 3.95,9 1320}
{0 26.5,1 yes,3 14,4 5.525,5 4.045455,6 0.315426,7 3.15,8 4.4,9 1160}
{0 21,2 Undergraduate,3 48,4 5.325,5 3.642045,6 0.456029,7 3.45,8 3.55,9 1400}
{0 24,2 Undergraduate,3 ?,4 5.325,5 3.893939,6 -0.550099,7 2.95,8 3.5,9 1320}
{0 26,3 26,4 4.55,5 3.727273,6 0.358642,7 3.6,8 4,9 1320}
{0 20.5,2 Undergraduate,3 3,4 4.671053,5 3.730303,6 -0.305935,7 2.9,8 3.55,9 1160}
{0 26,1 yes,3 53,4 5.175,5 4.015152,6 -0.72635,7 3.3,8 4.15,9 1240}
{0 26,3 31,4 4.5,5 3.772727,6 -0.738698,7 2.7,8 3.65,9 1240}
{0 18.5,2 Undergraduate,3 48,4 4.75,5 3.818182,6 -0.945818,7 3.05,8 3.7,9 1240}
{0 33.5,3 17,4 4.775,5 3.772727,6 0.638454,7 3,8 3.9,9 1480}
{0 20.5,2 Undergraduate,3 3,4 5.4,5 3.812973,6 0.18717,7 3.1,8 3.3,9 1480}
{0 19.5,2 Undergraduate,3 48,4 4.425,5 3.69697,6 -0.428017,7 2.95,8 3.25,9 1320}
{0 18,2 Undergraduate,3 60,4 5.525,5 4.212121,6 -0.836084,7 4.05,8 4.15,9 1160}
{0 21.5,2 Undergraduate,3 60,4 4.225,5 3.166667,6 0.248908,7 3.15,8 3.35,9 1320}
