@relation 'all_fv_N20-weka.filters.unsupervised.attribute.Remove-R41,51'

@attribute percentage-of-(IP)-overall numeric
@attribute percentage-of-(SF)-overall numeric
@attribute percentage-of-(OM)-grocery numeric
@attribute percentage-of-(SF)-grocery numeric
@attribute number-of-(PO)-overall numeric
@attribute number-of-(IR)-overall numeric
@attribute number-of-(IS)-grocery numeric
@attribute percentage-of-(IP-RN)-overall numeric
@attribute percentage-of-(SBR-MINEG)-overall numeric
@attribute percentage-of-(QM-IR)-overall numeric
@attribute percentage-of-(SBR-SF)-overall numeric
@attribute percentage-of-(OM-QM)-wine numeric
@attribute percentage-of-(MIN-IR)-wine numeric
@attribute percentage-of-(IP-SF)-grocery numeric
@attribute percentage-of-(IP-IDN)-turns numeric
@attribute percentage-of-(MIN-QR)-turns numeric
@attribute percentage-of-(IDN-SBR)-turns numeric
@attribute number-of-(IP-RN)-overall numeric
@attribute number-of-(OM-RP)-overall numeric
@attribute number-of-(IP-IDN)-turns numeric
@attribute 1-0020 numeric
@attribute 1-0090 numeric
@attribute 1-0091 numeric
@attribute 1-0177 numeric
@attribute 1-0432 numeric
@attribute 1-0483 numeric
@attribute 1-0605 numeric
@attribute 1-0687 numeric
@attribute 1-0891 numeric
@attribute 1-1062 numeric
@attribute 1-1702 numeric
@attribute 1-1800 numeric
@attribute 1-1886 numeric
@attribute 2-0004 numeric
@attribute 2-0112 numeric
@attribute 2-0250 numeric
@attribute 2-0254 numeric
@attribute 2-0994 numeric
@attribute 3-0030 numeric
@attribute 3-0046 numeric
@attribute mean_age numeric
@attribute negative_experience {no,yes}
@attribute education {Graduate,Undergraduate}
@attribute east.asian.time.in.us numeric
@attribute cultural_intelligence numeric
@attribute emotional.intelligence numeric
@attribute IQ numeric
@attribute extroversion numeric
@attribute openness numeric
@attribute profit.joint numeric

@data
0.07483,0.013605,0.068966,0,2,2,0,0,0.006849,0,0.006849,0,0,0,0,0,0,0,2,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28.5,no,Graduate,48,5.625,3.818182,-1.165286,2.9,3.616667,1260
0.135714,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,28,no,Graduate,11,5.275,3.833333,0.431334,2.65,4.1,1240
0.102941,0.014706,0,0.022556,1,2,0,0.01845,0,0,0.01107,0,0.007246,0,0,0,0,5,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25.5,no,Graduate,40,4.75,3.318182,-0.506882,2.4,2.95,1160
0.087248,0,0.026316,0,1,2,0,0,0.013514,0,0,0,0,0,0,0,0,0,0,0,6,2,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,26.5,no,Graduate,50,5.05,3.682307,0.663149,3.4,3.5,1240
0.031008,0,0.1,0,5,10,0,0,0,0.007813,0,0,0.014706,0,0,0,0,0,3,0,12,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,26.5,no,Graduate,61,5.525,4.242424,-0.092641,3.95,4.65,1480
0.122699,0,0,0,3,5,1,0.018519,0.006173,0,0,0,0.014706,0,0,0,0.02381,3,0,0,2,0,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,yes,Graduate,12,4.875,3.889205,0.327773,2.8,4.15,1160
0.058824,0.047059,0.025,0.025,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,23.5,no,Graduate,1,5.025,4.19697,-0.738698,2.75,3.6,1260
0.119658,0,0.055556,0,1,3,0,0,0,0,0,0.016129,0,0,0,0,0,0,1,0,4,1,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,27.5,no,Graduate,60,5.55,4.19697,0.541068,4.25,4.2,1400
0.086705,0,0.04,0,8,0,0,0.011628,0.005814,0,0,0.010309,0,0,0,0,0,2,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,no,Graduate,49,4.825,3.954545,0.443681,3.25,3.65,1340
0.107914,0,0.014925,0,5,3,0,0,0.007246,0,0,0,0.014085,0,0,0,0,0,1,0,9,2,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,29,no,Graduate,48,4.45,3.015152,0.095958,3,3.2,1400
0.070423,0,0.037383,0,8,12,0,0.004717,0.004717,0.004717,0,0,0.009524,0,0,0.016667,0,1,2,0,15,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,21,no,Undergraduate,?,5.225,3.828125,1.503979,3.85,4.25,1480
0.144737,0.013158,0.051282,0.025641,1,1,0,0,0,0,0,0,0,0.026316,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,29,no,Graduate,60,5.125,3.787879,0.017093,3.8,3.7,1240
0.151163,0,0.157895,0,2,5,0,0,0,0.011765,0,0,0.021277,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,26,no,Graduate,48,5.875,3.799716,1.034174,3.8,4.1,1400
0.084615,0,0.069767,0,3,3,0,0,0,0,0,0,0.023256,0,0,0.015385,0,0,3,0,1,2,7,0,0,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,21,yes,Undergraduate,44,4.95,4.227273,0.607585,2.638889,4.15,1480
